"Historical Data"
"From 2025-01-02 to 2026-01-01"
FR0003500008
Date;Open;High;Low;Last;Close;"Number of Shares";"Number of Trades";Turnover
19/11/2025;7964.77;8005.75;7919.36;7953.77;7953.77;0;0;3231209096;
18/11/2025;8017.73;8032.51;7925.06;7967.93;7967.93;0;0;4020141467;
17/11/2025;8155.93;8176.10;8109.82;8119.02;8119.02;0;0;2576614988;
14/11/2025;8186.14;8202.48;8084.23;8170.09;8170.09;0;0;3326837839;
13/11/2025;8270.85;8314.23;8227.88;8232.49;8232.49;0;0;3430708287;
12/11/2025;8190.68;8280.97;8185.03;8241.24;8241.24;0;0;3682257180;
11/11/2025;8080.60;8169.80;8078.22;8156.23;8156.23;0;0;2800845053;
10/11/2025;8044.09;8077.18;8017.47;8055.51;8055.51;0;0;3083239684;
07/11/2025;7986.07;8000.99;7908.59;7950.18;7950.18;0;0;3087581612;
06/11/2025;8016.67;8044.86;7950.80;7964.77;7964.77;0;0;3765778252;
05/11/2025;8008.06;8097.84;8005.82;8074.23;8074.23;0;0;2883960360;
04/11/2025;8014.47;8067.58;7963.69;8067.53;8067.53;0;0;3136026408;
03/11/2025;8118.84;8151.00;8094.41;8109.79;8109.79;0;0;2816930317;
31/10/2025;8150.22;8161.81;8106.95;8121.07;8121.07;0;0;3592694099;
30/10/2025;8180.35;8206.84;8114.74;8157.29;8157.29;0;0;3769796907;
29/10/2025;8198.71;8226.32;8186.01;8200.88;8200.88;0;0;2994771943;
28/10/2025;8219.53;8243.64;8204.01;8216.58;8216.58;0;0;3133014272;
27/10/2025;8237.20;8252.64;8202.72;8239.18;8239.18;0;0;2865350508;
24/10/2025;8263.91;8263.91;8169.23;8225.63;8225.63;0;0;3149968810;
23/10/2025;8225.45;8257.47;8215.53;8225.78;8225.78;0;0;3540228271;
22/10/2025;8222.73;8248.90;8193.35;8206.87;8206.87;0;0;4379019631;
21/10/2025;8206.35;8271.48;8198.27;8258.86;8258.86;0;0;3693971868;
20/10/2025;8213.20;8239.67;8151.35;8206.07;8206.07;0;0;3953403783;
17/10/2025;8092.53;8224.56;8080.83;8174.20;8174.20;0;0;4137405444;
16/10/2025;8093.46;8188.59;8053.07;8188.59;8188.59;0;0;3547131218;
15/10/2025;8029.97;8130.72;8024.54;8077.00;8077.00;0;0;4747067979;
14/10/2025;7862.91;7932.88;7825.97;7919.62;7919.62;0;0;3411932084;
13/10/2025;7959.27;7995.49;7902.12;7934.26;7934.26;0;0;2944926994;
10/10/2025;8049.57;8082.53;7905.83;7918.00;7918.00;0;0;3638732810;
09/10/2025;8074.12;8109.77;8041.36;8041.36;8041.36;0;0;3119089516;
08/10/2025;7983.37;8070.64;7983.37;8060.13;8060.13;0;0;3589021235;
07/10/2025;7974.91;8005.74;7934.13;7974.85;7974.85;0;0;3492180606;
